profile,variant,radius,action_radius,coverage_valid_regime,coverage_cluster_low,coverage_cluster_high,acceptance,acceptance_cluster_low,acceptance_cluster_high,abstention,selective_error,selective_error_cluster_low,selective_error_cluster_high,accepted_unsafe_rate,decision_error_exposure,pre_drift_coverage,pre_drift_acceptance,pre_drift_selective_error,pre_drift_error_exposure,post_drift_coverage,post_drift_acceptance,post_drift_selective_error,post_drift_selective_error_cluster_low,post_drift_selective_error_cluster_high,post_drift_error_exposure,post_drift_error_exposure_cluster_low,post_drift_error_exposure_cluster_high,median_detection_delay_ms,detection_rate,false_alarm_rate_per_trace,certificate_count,certificate_bytes_total,certificate_encoding_us_per_report,reason_allow,reason_schema_invalid,reason_mapping_invalid,reason_drift,reason_stale,reason_low_support,reason_functional_uncertainty
P1,Full,3.2539394470919816,1.056554436673875,0.9405670488129648,0.9215105488528413,0.9575146515686389,0.5790544856180919,0.4525931589873732,0.7162866243224426,0.4209455143819081,0.002280842790106377,0.0010534257603740116,0.004030819280382956,3.739086541157995e-05,0.0013207322486007817,,,,,,,,,,,,,,,0.11320754716981132,92373,4433904,44.634807726071884,53489,0,0,7075,0,147,31662
P1,No uncertainty gate,3.2539394470919816,1.056554436673875,0.9405670488129648,0.9215105488528413,0.9575146515686389,0.9218169811525013,0.8480928941907234,0.9823696715707171,0.07818301884749868,0.09674578102429801,0.060487321421933846,0.13694339156397828,0.01166163638712405,0.08918190380305933,,,,,,,,,,,,,,,0.11320754716981132,0,0,,85151,0,0,7075,0,147,0
P1,No drift gate,3.2539394470919816,1.056554436673875,0.9405670488129648,0.9215105488528413,0.9575146515686389,0.615244714364587,0.4801593190879504,0.7481746401711172,0.38475528563541295,0.002463400900900901,0.0011758695120023185,0.004175795763381996,3.519144144144144e-05,0.0015155943836402412,,,,,,,,,,,,,,,0.11320754716981132,0,0,,56832,0,0,0,0,161,35380
P2,Full,3.3277513554343665,1.0850022801079526,0.9444751171879229,0.9262211128967387,0.9608059867598312,0.5678066101566475,0.4437541316541081,0.6985283996457409,0.43219338984335254,0.002020972354623451,0.0008641369391877311,0.003606725306304071,0.0,0.0011475214618990397,,,,,,,,,,,,,,,0.11320754716981132,92373,4433904,46.1444294928439,52450,0,0,7075,0,1924,30924
P2,No uncertainty gate,3.3277513554343665,1.0850022801079526,0.9444751171879229,0.9262211128967387,0.9608059867598312,0.902579758154439,0.8309630641555592,0.9619398662442746,0.09742024184556097,0.09804015640367501,0.06151814079729089,0.14004776669594293,0.011262503898097728,0.08848906065625237,,,,,,,,,,,,,,,0.11320754716981132,0,0,,83374,0,0,7075,0,1924,0
P2,No drift gate,3.3277513554343665,1.0850022801079526,0.9444751171879229,0.9262211128967387,0.9608059867598312,0.6030008768796077,0.47061981586792156,0.7336314287425706,0.3969991231203923,0.0022800308791583635,0.0010854560320074885,0.00392413793345183,0.0,0.0013748606194450758,,,,,,,,,,,,,,,0.11320754716981132,0,0,,55701,0,0,0,0,2100,34572
P3,Full,3.3901544992190993,1.1139061112264885,0.9444967685362606,0.9255295830536463,0.9613666468820807,0.4865924025418683,0.37781254423819804,0.6000397751781771,0.5134075974581317,0.0019800658538755896,0.000819269655672697,0.003521371127462453,0.0,0.0009634850010284391,,,,,,,,,,,,,,,0.09433962264150944,92373,4433904,44.57622760824777,44948,0,0,5369,0,14858,27198
P3,No uncertainty gate,3.3901544992190993,1.1139061112264885,0.9444967685362606,0.9255295830536463,0.9613666468820807,0.7810290885864917,0.7280034840653657,0.8242037942209853,0.21897091141350833,0.11728993984420481,0.07014941703900437,0.16932567699364262,0.013015274582097414,0.09160685481688371,,,,,,,,,,,,,,,0.09433962264150944,0,0,,72146,0,0,5369,0,14858,0
P3,No drift gate,3.3901544992190993,1.1139061112264885,0.9444967685362606,0.9255295830536463,0.9613666468820807,0.5035021055936258,0.38758182364416116,0.6177685120717188,0.49649789440637415,0.0020640722425284883,0.0009041158965733619,0.0036255542420680032,0.0,0.0010392647202104512,,,,,,,,,,,,,,,0.09433962264150944,0,0,,46510,0,0,0,0,15803,30060
P4,Full,3.272591961185261,1.0600288298511797,0.9442836041358936,0.926966436485653,0.960102675028815,0.35240817121886264,0.28601623332018156,0.423740045364202,0.6475918287811373,0.06030166190520075,0.04502929347933276,0.0818078544456012,0.020704696955733726,0.021250798393469952,0.9442836041358936,0.5920630231413097,0.0021289335373561305,0.0012604628261939932,0.7114043944420405,0.05988268666762825,0.7623444399839422,0.66612882439979,0.8709118693417919,0.04565123323236694,0.03521235861785576,0.05964545633376558,8964.0,0.8867924528301887,0.09433962264150944,92373,4433904,44.35942811533161,32553,0,0,41429,0,320,18071
